State,State_Name,SOC_Code,SOC_Title,Pct10,Pct25,Median,Pct75,Pct90,Mean,Source_URL,Source_National_URL,Data_Period
AK,Alaska,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",15.04,16.67,19.03,22.32,25.74,20.06,https://www.bls.gov/oes/current/oes_ak.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
AK,Alaska,43-9061,"Office Clerks, General",14.7,17.38,22.02,26.78,32.22,22.89,https://www.bls.gov/oes/current/oes_ak.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
AL,Alabama,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.6,13.97,15.95,18.71,21.57,16.81,https://www.bls.gov/oes/current/oes_al.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
AL,Alabama,43-9061,"Office Clerks, General",12.32,14.56,18.45,22.44,27.01,19.18,https://www.bls.gov/oes/current/oes_al.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
AR,Arkansas,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.44,13.8,15.75,18.47,21.3,16.6,https://www.bls.gov/oes/current/oes_ar.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
AR,Arkansas,43-9061,"Office Clerks, General",12.17,14.38,18.22,22.16,26.67,18.94,https://www.bls.gov/oes/current/oes_ar.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
AZ,Arizona,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.7,15.53,17.72,20.79,23.97,18.68,https://www.bls.gov/oes/current/oes_az.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
AZ,Arizona,43-9061,"Office Clerks, General",14.7,16.19,20.51,24.94,30.01,21.32,https://www.bls.gov/oes/current/oes_az.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
CA,California,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",16.5,17.58,20.06,23.53,27.13,21.14,https://www.bls.gov/oes/current/oes_ca.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
CA,California,43-9061,"Office Clerks, General",16.5,18.32,23.21,28.23,33.97,24.13,https://www.bls.gov/oes/current/oes_ca.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
CO,Colorado,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.81,16.36,18.66,21.9,25.25,19.67,https://www.bls.gov/oes/current/oes_co.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
CO,Colorado,43-9061,"Office Clerks, General",14.81,17.05,21.6,26.27,31.61,22.45,https://www.bls.gov/oes/current/oes_co.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
CT,Connecticut,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",15.69,17.18,19.61,23.0,26.52,20.67,https://www.bls.gov/oes/current/oes_ct.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
CT,Connecticut,43-9061,"Office Clerks, General",15.69,17.91,22.69,27.59,33.21,23.59,https://www.bls.gov/oes/current/oes_ct.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
DE,Delaware,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.46,16.04,18.3,21.47,24.76,19.29,https://www.bls.gov/oes/current/oes_de.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
DE,Delaware,43-9061,"Office Clerks, General",14.14,16.72,21.18,25.75,31.0,22.02,https://www.bls.gov/oes/current/oes_de.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
FL,Florida,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",14.36,15.93,18.17,21.32,24.58,19.16,https://www.bls.gov/oes/current/oes_fl.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
FL,Florida,43-9061,"Office Clerks, General",14.04,16.6,21.03,25.58,30.78,21.87,https://www.bls.gov/oes/current/oes_fl.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
GA,Georgia,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.32,14.77,16.85,19.77,22.79,17.76,https://www.bls.gov/oes/current/oes_ga.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
GA,Georgia,43-9061,"Office Clerks, General",13.02,15.39,19.5,23.71,28.54,20.27,https://www.bls.gov/oes/current/oes_ga.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
HI,Hawaii,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",15.75,17.47,19.93,23.39,26.96,21.01,https://www.bls.gov/oes/current/oes_hi.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
HI,Hawaii,43-9061,"Office Clerks, General",15.4,18.21,23.07,28.05,33.76,23.98,https://www.bls.gov/oes/current/oes_hi.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
IA,Iowa,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",12.57,13.94,15.91,18.67,21.52,16.77,https://www.bls.gov/oes/current/oes_ia.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
IA,Iowa,43-9061,"Office Clerks, General",12.29,14.53,18.41,22.39,26.95,19.14,https://www.bls.gov/oes/current/oes_ia.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
ID,Idaho,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",13.46,14.93,17.03,19.98,23.04,17.95,https://www.bls.gov/oes/current/oes_id.htm,https://www.bls.gov/oes/current/oes537062.htm,May 2024
ID,Idaho,43-9061,"Office Clerks, General",13.16,15.56,19.71,23.97,28.85,20.49,https://www.bls.gov/oes/current/oes_id.htm,https://www.bls.gov/oes/current/oes439061.htm,May 2024
