Employer,State,State_Name,Role_Type,Role_Title,Hourly_Low,Hourly_High,Hourly_Avg,Source_URL,Source_Name,Source_Corporate,Data_Date
Walmart,AK,Alaska,Outdoor,Stocking & Unloading Associate,14.7,22.05,17.85,https://www.indeed.com/cmp/Walmart/salaries/Stocker,Indeed - Walmart Stocker Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,AK,Alaska,Indoor,Cashier / Customer Service Associate,14.0,19.43,16.01,https://www.indeed.com/cmp/Walmart/salaries/Cashier,Indeed - Walmart Cashier Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,AL,Alabama,Outdoor,Stocking & Unloading Associate,14.0,18.48,14.96,https://www.indeed.com/cmp/Walmart/salaries/Stocker,Indeed - Walmart Stocker Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,AL,Alabama,Indoor,Cashier / Customer Service Associate,14.0,16.28,14.0,https://www.indeed.com/cmp/Walmart/salaries/Cashier,Indeed - Walmart Cashier Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,AR,Arkansas,Outdoor,Stocking & Unloading Associate,14.0,18.25,14.77,https://www.indeed.com/cmp/Walmart/salaries/Stocker,Indeed - Walmart Stocker Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,AR,Arkansas,Indoor,Cashier / Customer Service Associate,14.0,16.08,14.0,https://www.indeed.com/cmp/Walmart/salaries/Cashier,Indeed - Walmart Cashier Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,AZ,Arizona,Outdoor,Stocking & Unloading Associate,14.7,20.54,16.63,https://www.indeed.com/cmp/Walmart/salaries/Stocker,Indeed - Walmart Stocker Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,AZ,Arizona,Indoor,Cashier / Customer Service Associate,14.7,18.09,14.91,https://www.indeed.com/cmp/Walmart/salaries/Cashier,Indeed - Walmart Cashier Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,CA,California,Outdoor,Stocking & Unloading Associate,16.5,23.25,18.82,https://www.indeed.com/cmp/Walmart/salaries/Stocker,Indeed - Walmart Stocker Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
Walmart,CA,California,Indoor,Cashier / Customer Service Associate,16.5,20.48,16.88,https://www.indeed.com/cmp/Walmart/salaries/Cashier,Indeed - Walmart Cashier Salaries,https://corporate.walmart.com/askwalmart/how-much-do-walmart-associates-make,Q1 2026
